artist,song,explicit,year,popularity,danceability,genre,duration_min
Alien Ant Farm,Smooth Criminal,False,2001,75,0.653,rock,3.4877666666666665
Erick Sermon,Music (feat. Marvin Gaye),True,2001,57,0.897,hip hop,3.7188833333333333
D12,Purple Pills,True,2001,68,0.78,hip hop,5.0751
Usher,Pop Ya Collar - Radio Edit,False,2016,26,0.888,hip hop,3.51355
Madonna,Don't Tell Me,False,2000,53,0.699,pop,4.682883333333334
Blue,If You Come Back,False,2001,58,0.582,pop,3.4593333333333334
Atomic Kitten,Eternal Flame - Single Version,False,2001,58,0.578,pop,3.2584333333333335
Jagged Edge,Where the Party At (feat. Nelly),False,2001,67,0.596,hip hop,3.8762166666666666
Afroman,Because I Got High,True,2001,68,0.802,hip hop,3.296
S Club 7,Don't Stop Movin',False,2001,63,0.822,pop,3.8937666666666666
Craig David,Fill Me In,False,2000,60,0.682,hip hop,4.286666666666667
Nelly Furtado,Turn Off The Light,False,2000,1,0.587,hip hop,4.601766666666666
The Supermen Lovers,Starlight - Radio Edit,False,2001,61,0.739,Dance/Electronic,3.9066666666666667
Mis-Teeq,All I Want - Sunship Radio Edit,False,2004,46,0.795,pop,3.4566666666666666
Jagged Edge,Promise,False,2000,56,0.751,hip hop,4.112
S Club 7,Have You Ever,False,2001,60,0.585,pop,3.3588833333333334
Enya,Only Time,False,2000,69,0.418,World/Traditional,3.6424333333333334
Faith Hill,There You'll Be,False,2001,60,0.321,pop,3.702
Ronan Keating,Lovin' Each Day,False,2000,58,0.541,pop,3.54955
Destiny's Child,Bootylicious,False,2001,64,0.84,pop,3.4651
Steps,It's the Way You Make Me Feel,False,2000,53,0.573,pop,3.2893333333333334
Sunshine Anderson,Heard It All Before,False,2001,56,0.697,pop,4.930433333333333
Lenny Kravitz,Again,False,2000,68,0.55,rock,3.8611
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,False,2002,46,0.836,pop,2.70555
DB Boulevard,Point Of View - Radio Edit,False,2018,0,0.676,Dance/Electronic,3.8527666666666667
Janet Jackson,All For You,False,2001,65,0.753,pop,5.498883333333334
Atomic Kitten,Whole Again,False,2001,66,0.747,pop,3.08355
Ja Rule,Livin' It Up,False,2001,64,0.874,hip hop,4.284433333333333
Destiny's Child,"Independent Women, Pt. 1",False,2001,65,0.73,pop,3.68555
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,False,2001,54,0.847,Dance/Electronic,3.6186666666666665
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,True,2001,66,0.708,hip hop,4.368883333333334
Musiq Soulchild,Love,False,2000,0,0.569,pop,5.077766666666666
So Solid Crew,21 Seconds,True,2001,51,0.607,Dance/Electronic,5.0471
Robbie Williams,Eternity,False,2001,48,0.469,pop,5.046
Basement Jaxx,Romeo,False,2001,0,0.713,pop,3.6248833333333335
Ludacris,Southern Hospitality (Featuring Pharrell),True,2000,54,0.623,hip hop,5.01555
Gabrielle,Rise,False,2001,60,0.558,pop,3.65155
Nelly,Ride Wit Me,True,2000,75,0.85,hip hop,4.863016666666667
Trick Daddy,I'm a Thug,True,2001,59,0.933,hip hop,4.24
Travis,Sing,False,2001,68,0.33,rock,3.8133333333333335
JAY-Z,Izzo (H.O.V.A.),True,2001,63,0.618,hip hop,4.010433333333333
Gabrielle,Out Of Reach,False,2001,69,0.51,pop,3.2831
OPM,Heaven Is a Halfpipe (If I Die),True,2000,56,0.743,rock,4.2904333333333335
K-Ci & JoJo,Crazy,False,2019,30,0.68,pop,4.37955
Staind,It's Been Awhile,True,2001,64,0.509,rock,4.411766666666667
3LW,No More (Baby I'ma Do Right),False,2000,56,0.721,pop,4.390666666666666
Ginuwine,Differences,False,2001,65,0.562,hip hop,4.42555
*NSYNC,Gone,False,2001,45,0.699,pop,4.866666666666666
Lifehouse,Hanging By A Moment,False,2000,61,0.537,pop,3.606
Nelly,Dilemma,True,2002,77,0.727,hip hop,4.819333333333334
Eminem,Without Me,True,2002,87,0.908,hip hop,4.838666666666667
Avril Lavigne,Complicated,False,2002,78,0.585,pop,4.0751
Vanessa Carlton,A Thousand Miles,False,2002,75,0.56,Folk/Acoustic,3.9582166666666665
The Calling,Wherever You Will Go,False,2001,72,0.558,pop,3.4766666666666666
Shakira,Underneath Your Clothes,False,2001,64,0.616,pop,3.7344333333333335
No Doubt,Underneath It All,False,2001,27,0.729,rock,5.045333333333334
Truth Hurts,Addictive,True,2002,58,0.701,pop,3.774
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),True,2002,68,0.648,hip hop,5.4051
Eminem,'Till I Collapse,True,2002,85,0.548,hip hop,4.9631
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",False,2004,69,0.713,hip hop,4.759766666666667
Christina Milian,When You Look At Me - Radio Edit,False,2001,60,0.955,hip hop,3.7091
Madonna,Die Another Day,False,2003,53,0.792,pop,4.606
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),False,2002,53,0.718,hip hop,2.8706666666666667
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),False,2019,40,0.583,pop,4.074433333333333
Linkin Park,In the End,False,2000,83,0.556,rock,3.6146666666666665
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,False,2002,66,0.607,set(),3.5662166666666666
Aaliyah,Rock The Boat,False,2019,0,0.641,hip hop,4.5837666666666665
Holly Valance,Kiss Kiss,False,2002,54,0.705,pop,3.4066666666666667
Sugababes,Round Round,False,2002,59,0.74,pop,3.9404333333333335
Marilyn Manson,Tainted Love,False,2003,60,0.622,rock,3.3404333333333334
Brandy,What About Us?,False,2002,43,0.686,hip hop,4.22
Chad Kroeger,Hero (feat. Josey Scott),False,2003,66,0.427,metal,3.3413333333333335
Britney Spears,Overprotected - Radio Edit,False,2001,61,0.682,pop,3.31
Scooter,The Logical Song,False,2013,46,0.527,pop,3.9019333333333335
Missy Elliott,4 My People (feat. Eve),True,2001,49,0.969,hip hop,4.822883333333333
Aaliyah,More Than A Woman,False,2002,42,0.646,hip hop,3.8391
Brandy,Full Moon,False,2002,52,0.611,hip hop,4.148883333333333
Blue,One Love,False,2002,60,0.683,pop,3.4531
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,True,2001,55,0.697,hip hop,3.9766666666666666
Céline Dion,A New Day Has Come - Radio Remix,False,2001,59,0.574,pop,4.32955
Scooter,Nessaja,False,2013,47,0.486,pop,3.47415
Eve,Gangsta Lovin',True,2002,58,0.723,hip hop,3.9877666666666665
Disturbing Tha Peace,Move Bitch,True,2002,59,0.777,hip hop,4.538216666666667
Khia,"My Neck, My Back (Lick It)",True,2015,59,0.859,pop,3.7093333333333334
Tweet,Oops (Oh My) [feat. Missy Elliott],True,2002,64,0.66,hip hop,3.9633333333333334
Kylie Minogue,Spinning Around,False,2000,55,0.761,pop,3.4644333333333335
Nelly,Hot In Herre,True,2002,75,0.956,hip hop,3.804
Gareth Gates,Anyone of Us (Stupid Mistake),False,2003,53,0.7,pop,3.7977666666666665
Christina Aguilera,Dirrty (feat. Redman),False,2002,68,0.64,pop,4.980883333333334
B2K,Uh Huh,False,2002,49,0.855,hip hop,3.72155
Sugababes,Freak Like Me,False,2002,45,0.517,pop,3.2644333333333333
Dirty Vegas,Days Go By,False,2002,48,0.786,Dance/Electronic,7.2024333333333335
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),True,2001,73,0.835,hip hop,4.45155
Liberty X,Just A Little,False,2019,43,0.786,pop,3.955983333333333
No Doubt,Hella Good,False,2001,26,0.771,rock,4.0431
LL Cool J,Luv U Better,False,2002,2,0.668,hip hop,4.783333333333333
Red Hot Chili Peppers,Can't Stop,False,2002,80,0.618,rock,4.483333333333333
Musiq Soulchild,Halfcrazy,False,2002,58,0.412,pop,4.24155
Sean Paul,Gimme the Light,True,2002,59,0.778,hip hop,3.8
Faith Evans,I Love You,False,2001,53,0.489,hip hop,4.4526666666666666
Charli Baltimore,Down 4 U,True,2002,47,0.64,pop,5.30355
Kylie Minogue,Love at First Sight,False,2001,55,0.603,pop,3.9711
N.O.R.E.,Nothin',True,2002,58,0.791,hip hop,4.4108833333333335
Gareth Gates,Unchained Melody,False,2003,35,0.368,pop,3.894433333333333
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],False,2005,63,0.66,hip hop,4.48
Big Brovaz,Nu Flow,False,2001,45,0.783,pop,3.358
No Doubt,Hey Baby,False,2001,24,0.705,rock,3.4506666666666668
Ashanti,Baby,True,2002,55,0.567,hip hop,4.428433333333333
Sophie Ellis-Bextor,Murder On The Dancefloor,False,2002,62,0.734,pop,3.83355
Justin Timberlake,Like I Love You,False,2002,62,0.853,pop,4.7271
Mary J. Blige,Rainy Dayz,False,2001,32,0.412,pop,4.606216666666667
A1,Caught in the Middle,False,2001,53,0.519,pop,3.4411
Eminem,Cleanin' Out My Closet,True,2002,71,0.908,hip hop,4.964
Ashanti,Happy,True,2002,61,0.727,hip hop,4.370433333333334
Delta Goodrem,Born to Try,False,2003,54,0.542,pop,4.188
P!nk,Get the Party Started,False,2001,68,0.802,pop,3.2088833333333335
Alicia Keys,A Woman's Worth,False,2001,52,0.652,pop,5.05555
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,False,2002,56,0.838,pop,2.687333333333333
Coldplay,Clocks,False,2002,79,0.577,rock,5.131316666666667
Missy Elliott,Work It,True,2002,70,0.884,hip hop,4.3871
Ronan Keating,If Tomorrow Never Comes,False,2002,60,0.555,pop,3.5717666666666665
Big Tymers,Still Fly,True,2002,64,0.675,hip hop,5.59355
Creed,My Sacrifice,False,2001,69,0.32,pop,4.91
Ja Rule,Always On Time,True,2001,73,0.839,hip hop,4.08555
Ashanti,Foolish,True,2002,70,0.665,hip hop,3.7897666666666665
Avril Lavigne,Sk8er Boi,False,2002,75,0.487,pop,3.4
DJ Sammy,Heaven,False,2002,63,0.571,pop,3.8933333333333335
Britney Spears,"I'm Not a Girl, Not Yet a Woman",False,2001,58,0.534,pop,3.8511
Cam’ron,Oh Boy,True,2002,67,0.754,hip hop,3.411766666666667
Red Hot Chili Peppers,By the Way,False,2002,73,0.451,rock,3.61555
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,False,2002,60,0.597,rock,3.5251
Atomic Kitten,The Tide Is High - Radio Mix,False,2002,65,0.783,pop,3.4348833333333335
*NSYNC,Girlfriend,False,2001,50,0.745,pop,4.226666666666667
Robbie Williams,Somethin' Stupid,False,2001,64,0.654,pop,2.84155
Alanis Morissette,Hands Clean,False,2002,57,0.513,pop,4.49
Usher,U Don't Have to Call,True,2001,59,0.793,hip hop,4.49
Creed,One Last Breath - Radio Version,False,2015,47,0.38,pop,4.033333333333333
The Goo Goo Dolls,Here Is Gone,False,2002,56,0.338,pop,3.96955
Puddle Of Mudd,She Hates Me,True,2001,70,0.58,rock,3.6126666666666667
Ludacris,Rollout (My Business),True,2001,60,0.921,hip hop,4.9431
Blazin' Squad,Crossroads - Radio Edit,False,2012,40,0.661,set(),3.1448833333333335
Default,Wasting My Time,False,2001,40,0.443,rock,4.4782166666666665
Michelle Branch,All You Wanted,False,2001,60,0.499,pop,3.628
Daniel Bedingfield,If You're Not The One,False,2002,58,0.688,pop,4.283766666666667
Enrique Iglesias,Escape,False,2001,56,0.776,pop,3.4771
Puddle Of Mudd,Blurry,False,2001,64,0.432,rock,5.065333333333333
Coldplay,In My Place,False,2002,72,0.424,rock,3.778
Outkast,The Whole World (feat. Killer Mike),True,2001,51,0.814,hip hop,4.922433333333333
P!nk,Don't Let Me Get Me - Radio Edit,False,2001,60,0.624,pop,3.51155
50 Cent,In Da Club,True,2003,81,0.899,hip hop,3.2244333333333333
Sean Paul,Get Busy,False,2002,74,0.735,hip hop,3.5277666666666665
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",True,2004,77,0.686,hip hop,5.370433333333334
Beyoncé,Crazy In Love (feat. Jay-Z),False,2003,76,0.646,pop,3.93555
Counting Crows,Big Yellow Taxi,False,2003,50,0.669,rock,3.7571
Black Eyed Peas,Where Is The Love?,False,2003,68,0.835,hip hop,4.542216666666667
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,False,2002,70,0.845,hip hop,3.1306666666666665
Black Eyed Peas,Shut Up,False,2003,56,0.81,hip hop,4.9364333333333335
t.A.T.u.,All The Things She Said,True,2020,39,0.527,pop,3.574
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,False,2003,66,0.793,pop,4.7595
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),True,2002,68,0.648,hip hop,5.4051
Panjabi MC,Mundian to Bach Ke,False,2003,61,0.778,World/Traditional,4.077766666666666
Mis-Teeq,Scandalous - U.S. Radio Edit,False,2004,59,0.734,pop,3.9806666666666666
JAY-Z,03' Bonnie & Clyde,True,2002,71,0.759,hip hop,3.426
50 Cent,P.I.M.P.,True,2003,76,0.712,hip hop,4.158
Jamelia,Superstar,False,2003,69,0.801,pop,3.5913333333333335
Linkin Park,Faint,False,2003,72,0.554,rock,2.71
DMX,X Gon' Give It To Ya,True,2007,70,0.761,hip hop,3.6264333333333334
Evanescence,Bring Me To Life,False,2003,79,0.331,metal,3.93155
Sugababes,Hole In The Head,False,2003,57,0.785,pop,3.636216666666667
Craig David,Rise & Fall (feat. Sting),False,2002,59,0.405,hip hop,4.7871
Three Days Grace,I Hate Everything About You,False,2003,72,0.498,rock,3.858
Lil Jon & The East Side Boyz,Get Low,False,2002,47,0.78,hip hop,5.41
B2K,"Bump, Bump, Bump (feat. P. Diddy)",False,2003,62,0.835,hip hop,4.712883333333333
Baby Bash,Suga Suga,False,2003,73,0.662,hip hop,3.9837666666666665
Aaliyah,Miss You - Main,False,2002,36,0.602,hip hop,4.0873333333333335
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,False,2003,59,0.804,pop,3.72955
Blue,Sorry Seems To Be The Hardest Word,False,2004,57,0.564,pop,3.5011
Delta Goodrem,Lost Without You,False,2003,54,0.581,pop,4.142433333333333
Justin Timberlake,Rock Your Body,False,2002,76,0.892,pop,4.454433333333333
The White Stripes,Seven Nation Army,False,2003,3,0.741,rock,3.8653333333333335
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,True,2003,54,0.772,hip hop,4.976666666666667
Beyoncé,Baby Boy (feat. Sean Paul),False,2003,63,0.655,pop,4.080433333333334
Lil' Kim,Magic Stick,True,2019,47,0.849,hip hop,5.99955
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),False,2002,61,0.859,pop,4.254433333333333
Nickelback,Someday,False,2003,68,0.455,rock,3.4577666666666667
Blue,U Make Me Wanna - Radio Edit,False,2003,48,0.6,pop,3.7066666666666666
Ashanti,Rain On Me,False,2003,50,0.606,hip hop,4.966
Trapt,Headstrong,True,2002,72,0.492,rock,4.759483333333334
Simply Red,Sunrise,False,2008,58,0.791,rock,3.3173333333333335
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",False,2003,61,0.811,pop,3.0817666666666668
Girls Aloud,Sound Of The Underground,False,2003,58,0.568,pop,3.6904333333333335
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,False,2016,52,0.527,hip hop,4.894433333333334
Room 5,Make Luv,False,2003,57,0.883,Dance/Electronic,3.540216666666667
Fatman Scoop,Be Faithful,True,2009,49,0.649,hip hop,2.7417666666666665
Limp Bizkit,Behind Blue Eyes,False,2003,70,0.595,metal,4.49955
Sugababes,Too Lost In You,False,2003,58,0.586,pop,3.96155
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",True,2003,57,0.802,hip hop,3.6566666666666667
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,True,2003,67,0.894,hip hop,3.9417666666666666
Chingy,Right Thurr,True,2003,69,0.866,hip hop,4.1791
Eminem,Sing For The Moment,True,2002,71,0.668,hip hop,5.6591
